# Odd core environment

This is a list of the first 10000 integers in consecutive order. For every `n`:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- `base3` and `base2` representations of the oc are given.
- residues of oc modulo a set of small primes then follow (`m3`, `m5`, etc)

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29
2407,0,23,10022011,100101100111,1,2,6,9,2,10,13,15,0
301,3,3,102011,100101101,1,1,0,4,2,12,16,2,11
2409,0,42,10022020,100101101001,0,4,1,0,4,12,15,17,2
1205,1,3,1122122,10010110101,2,0,1,6,9,15,8,9,16
2411,0,59,10022022,100101101011,2,1,3,2,6,14,17,19,4
603,2,23,211100,1001011011,0,3,1,9,5,8,14,5,23
2413,0,23,10022101,100101101101,1,3,5,4,8,16,0,21,6
1207,1,23,1122201,10010110111,1,2,3,8,11,0,10,11,18
2415,0,42,10022110,100101101111,0,0,0,6,10,1,2,0,8
151,4,3,12121,10010111,1,1,4,8,8,15,18,13,6
2417,0,3,10022112,100101110001,2,2,2,8,12,3,4,2,10
1209,1,18,1122210,10010111001,0,4,5,10,0,2,12,13,20
2419,0,18,10022121,100101110011,1,4,4,10,1,5,6,4,12
605,2,3,211102,1001011101,2,0,3,0,7,10,16,7,25
2421,0,3,10022200,100101110101,0,1,6,1,3,7,8,6,14
1211,1,23,1122212,10010111011,2,1,0,1,2,4,14,15,22
2423,0,23,10022202,100101110111,2,3,1,3,5,9,10,8,16
303,3,13,102020,100101111,0,3,2,6,4,14,18,4,13
2425,0,59,10022211,100101111001,1,0,3,5,7,11,12,10,18
1213,1,13,1122221,10010111101,1,3,2,3,4,6,16,17,24
2427,0,42,10022220,100101111011,0,2,5,7,9,13,14,12,20
607,2,13,211111,1001011111,1,2,5,2,9,12,18,9,27
2429,0,13,10022222,100101111101,2,4,0,9,11,15,16,14,22
1215,1,59,1200000,10010111111,0,0,4,5,6,8,18,19,26
2431,0,59,10100001,100101111111,1,1,2,0,0,0,18,16,24
19,7,6,201,10011,1,4,5,8,6,2,0,19,19
2433,0,13,10100010,100110000001,0,3,4,2,2,2,1,18,26
1217,1,47,1200002,10011000001,2,2,6,7,8,10,1,21,28
2435,0,47,10100012,100110000011,2,0,6,4,4,4,3,20,28
609,2,47,211120,1001100001,0,4,0,4,11,14,1,11,0
2437,0,47,10100021,100110000101,1,2,1,6,6,6,5,22,1
1219,1,47,1200011,10011000011,1,4,1,9,10,12,3,0,1
2439,0,47,10100100,100110000111,0,4,3,8,8,8,7,1,3
305,3,11,102022,100110001,2,0,4,8,6,16,1,6,15
2441,0,23,10100102,100110001001,2,1,5,10,10,10,9,3,5
1221,1,11,1200020,10011000101,0,1,3,0,12,14,5,2,3
2443,0,13,10100111,100110001011,1,3,0,1,12,12,11,5,7
611,2,11,211122,1001100011,2,1,2,6,0,16,3,13,2
2445,0,11,10100120,100110001101,0,0,2,3,1,14,13,7,9
1223,1,47,1200022,10011000111,2,3,5,2,1,16,7,4,5
2447,0,47,10100122,100110001111,2,2,4,5,3,16,15,9,11
153,4,11,12200,10011001,0,3,6,10,10,0,1,15,8
2449,0,47,10100201,100110010001,1,4,6,7,5,1,17,11,13
1225,1,47,1200101,10011001001,1,0,0,4,3,1,9,6,7
2451,0,47,10100210,100110010011,0,1,1,9,7,3,0,13,15
613,2,11,211201,1001100101,1,3,4,8,2,1,5,15,4
2453,0,11,10100212,100110010101,2,3,3,0,9,5,2,15,17
1227,1,47,1200110,10011001011,0,2,2,6,5,3,11,8,9
2455,0,47,10100221,100110010111,1,0,5,2,11,7,4,17,19
307,3,11,102101,100110011,1,2,6,10,8,1,3,8,17
2457,0,47,10101000,100110011001,0,2,0,4,0,9,6,19,21
1229,1,11,1200112,10011001101,2,4,4,8,7,5,13,10,11
2459,0,35,10101002,100110011011,2,4,2,6,2,11,8,21,23
615,2,23,211210,1001100111,0,0,6,10,4,3,7,17,6
2461,0,23,10101011,100110011101,1,1,4,8,4,13,10,0,25
1231,1,23,1200121,10011001111,1,1,6,10,9,7,15,12,13
2463,0,76,10101020,100110011111,0,3,6,10,6,15,12,2,27
77,5,6,2212,1001101,2,2,0,0,12,9,1,8,19
2465,0,23,10101022,100110100001,2,0,1,1,8,0,14,4,0
1233,1,47,1200200,10011010001,0,3,1,1,11,9,17,14,15
2467,0,47,10101101,100110100011,1,2,3,3,10,2,16,6,2
617,2,47,211212,1001101001,2,2,1,1,6,5,9,19,8
2469,0,47,10101110,100110100101,0,4,5,5,12,4,18,8,4
1235,1,47,1200202,10011010011,2,0,3,3,0,11,0,16,17
2471,0,47,10101112,100110100111,2,1,0,7,1,6,1,10,6
309,3,6,102110,100110101,0,4,1,1,10,3,5,10,19
2473,0,42,10101121,100110101001,1,3,2,9,3,8,3,12,8
1237,1,6,1200211,10011010101,1,2,5,5,2,13,2,18,19
2475,0,23,10101200,100110101011,0,0,4,0,5,10,5,14,10
619,2,47,211221,1001101011,1,4,3,3,8,7,11,21,10
2477,0,47,10101202,100110101101,2,2,6,2,7,12,7,16,12
1239,1,47,1200220,10011010111,0,4,0,7,4,15,4,20,21
2479,0,13,10101211,100110101111,1,4,1,4,9,14,9,18,14
155,4,30,12202,10011011,2,0,1,1,12,2,3,17,10
2481,0,11,10101220,100110110001,0,1,3,6,11,16,11,20,16
1241,1,11,1200222,10011011001,2,1,2,9,6,0,6,22,23
2483,0,11,10101222,100110110011,2,3,5,8,0,1,13,22,18
621,2,30,212000,1001101101,0,1,5,5,10,9,13,0,12
2485,0,30,10102001,100110110101,1,0,0,10,2,3,15,1,20
1243,1,23,1201001,10011011011,1,3,4,0,8,2,8,1,25
2487,0,23,10102010,100110110111,0,2,2,1,4,5,17,3,22
311,3,30,102112,100110111,2,1,3,3,12,5,7,12,21
2489,0,11,10102012,100110111001,2,4,4,3,6,7,0,5,24
1245,1,30,1201010,10011011101,0,0,6,2,10,4,10,3,27
2491,0,35,10102021,100110111011,1,1,6,5,8,9,2,7,26
623,2,47,212002,1001101111,2,3,0,7,12,11,15,2,14
2493,0,47,10102100,100110111101,0,3,1,7,10,11,4,9,28
1247,1,47,1201012,10011011111,2,2,1,4,12,6,12,5,0
2495,0,23,10102102,100110111111,2,0,3,9,12,13,6,11,1
39,6,11,1110,100111,0,4,4,6,0,5,1,16,10
2497,0,30,10102111,100111000001,1,2,5,0,1,15,8,13,3
1249,1,64,1201021,10011100001,1,4,3,6,1,8,14,7,2
2499,0,64,10102120,100111000011,0,4,0,2,3,0,10,15,5
625,2,6,212011,1001110001,1,0,2,9,1,13,17,4,16
2501,0,6,10102122,100111000101,2,1,2,4,5,2,12,17,7
1251,1,6,1201100,10011100011,0,1,5,8,3,10,16,9,4
2503,0,20,10102201,100111000111,1,3,4,6,7,4,14,19,9
313,3,47,102121,100111001,1,3,5,5,1,7,9,14,23
2505,0,30,10102210,100111001001,0,0,6,8,9,6,16,21,11
1253,1,47,1201102,10011100101,2,3,0,10,5,12,18,11,6
2507,0,11,10102212,100111001011,2,2,1,10,11,8,18,0,13
627,2,47,212020,1001110011,0,2,4,0,3,15,0,6,18
2509,0,47,10102221,100111001101,1,4,3,1,0,10,1,2,15
1255,1,30,1201111,10011100111,1,0,2,1,7,14,1,13,8
2511,0,30,10110000,100111001111,0,1,5,3,2,12,3,4,17
157,4,11,12211,10011101,1,2,3,3,1,4,5,19,12
2513,0,47,10110002,100111010001,2,3,0,5,4,14,5,6,19
1257,1,11,1201120,10011101001,0,2,4,3,9,16,3,15,10
2515,0,11,10110011,100111010011,1,0,2,7,6,16,7,8,21
629,2,11,212022,1001110101,2,4,6,2,5,0,2,8,20
2517,0,11,10110020,100111010101,0,2,4,9,8,1,9,10,23
1259,1,28,1201122,10011101011,2,4,6,5,11,1,5,17,12
2519,0,28,10110022,100111010111,2,4,6,0,10,3,11,12,25
315,3,11,102200,100111011,0,0,0,7,3,9,11,16,25
2521,0,11,10110101,100111011001,1,1,1,2,12,5,13,14,27
1261,1,11,1201201,10011101101,1,1,1,7,0,3,7,19,14
2523,0,47,10110110,100111011011,0,3,3,4,1,7,15,16,0
631,2,11,212101,1001110111,1,1,1,4,7,2,4,10,22
2525,0,11,10110112,100111011101,2,0,5,6,3,9,17,18,2
1263,1,64,1201210,10011101111,0,3,3,9,2,5,9,21,16
2527,0,64,10110121,100111011111,1,2,0,8,5,11,0,20,4
79,5,11,2221,1001111,1,4,2,2,1,11,3,10,21
2529,0,23,10110200,100111100001,0,4,2,10,7,13,2,22,6
1265,1,11,1201212,10011110001,2,0,5,0,4,7,11,0,18
2531,0,11,10110202,100111100011,2,1,4,1,9,15,4,1,8
633,2,8,212110,1001111001,0,3,3,6,9,4,6,12,24
2533,0,8,10110211,100111100101,1,3,6,3,11,0,6,3,10
1267,1,8,1201221,10011110011,1,2,0,2,6,9,13,2,20
2535,0,28,10110220,100111100111,0,0,1,5,0,2,8,5,12
317,3,11,102202,100111101,2,2,2,9,5,11,13,18,27
2537,0,47,10110222,100111101001,2,2,3,7,2,4,10,7,14
1269,1,11,1202000,10011110101,0,4,2,4,8,11,15,4,22
2539,0,64,10111001,100111101011,1,4,5,9,4,6,12,9,16
635,2,8,212112,1001111011,2,0,5,8,11,6,8,14,26
2541,0,8,10111010,100111101101,0,1,0,0,6,8,14,11,18
1271,1,8,1202002,10011110111,2,1,4,6,10,13,17,6,24
2543,0,64,10111012,100111101111,2,3,2,2,8,10,16,13,20
159,4,18,12220,10011111,0,4,5,5,3,6,7,21,14
2545,0,11,10111021,100111110001,1,0,4,4,10,12,18,15,22
1273,1,8,1202011,10011111001,1,3,6,8,12,15,0,8,26
2547,0,8,10111100,100111110011,0,2,6,6,12,14,1,17,24
637,2,18,212121,1001111101,1,2,0,10,0,8,10,16,28
2549,0,18,10111102,100111110101,2,4,1,8,1,16,3,19,26
1275,1,28,1202020,10011111011,0,0,1,10,1,0,2,10,28
2551,0,28,10111111,100111110111,1,1,3,10,3,1,5,21,28
319,3,18,102211,100111111,1,4,4,0,7,13,15,20,0
2553,0,64,10111120,100111111001,0,3,5,1,5,3,7,0,1
1277,1,18,1202022,10011111101,2,2,3,1,3,2,4,12,1
2555,0,18,10111122,100111111011,2,0,0,3,7,5,9,2,3
639,2,47,212200,1001111111,0,4,2,1,2,10,12,18,1
2557,0,47,10111201,100111111101,1,2,2,5,9,7,11,4,5
1279,1,47,1202101,10011111111,1,4,5,3,5,4,6,14,3
2559,0,40,10111210,100111111111,0,4,4,7,11,9,13,6,7
5,9,1,12,101,2,0,5,5,5,5,5,5,5
2561,0,52,10111212,101000000001,2,1,6,9,0,11,15,8,9
1281,1,16,1202110,10100000001,0,1,0,5,7,6,8,16,5
2563,0,16,10111221,101000000011,1,3,1,0,2,13,17,10,11
641,2,16,212202,1010000001,2,1,4,3,4,12,14,20,3
2565,0,16,10112000,101000000101,0,0,3,2,4,15,0,12,13
1283,1,16,1202112,10100000011,2,3,2,7,9,8,10,18,7
2567,0,52,10112002,101000000111,2,2,5,4,6,0,2,14,15
321,3,6,102220,101000001,0,1,6,2,9,15,17,22,2
2569,0,16,10112011,101000001001,1,4,0,6,8,2,4,16,17
1285,1,6,1202121,10100000101,1,0,4,9,11,10,12,20,9
2571,0,16,10112020,101000001011,0,1,2,8,10,4,6,18,19
643,2,6,212211,1010000011,1,3,6,5,6,14,16,22,5
2573,0,6,10112022,101000001101,2,3,4,10,12,6,8,20,21
1287,1,52,1202200,10100000111,0,2,6,0,0,12,14,22,11
2575,0,52,10112101,101000001111,1,0,6,1,1,8,10,22,23
161,4,35,12222,10100001,2,1,0,7,5,8,9,0,16
2577,0,6,10112110,101000010001,0,2,1,3,3,10,12,1,25
1289,1,52,1202202,10100001001,2,4,1,2,2,14,16,1,13
2579,0,52,10112112,101000010011,2,4,3,5,5,12,14,3,27
645,2,35,212220,1010000101,0,0,1,7,8,16,18,1,7
2581,0,35,10112121,101000010101,1,1,5,7,7,14,16,5,0
1291,1,16,1202211,10100001011,1,1,3,4,4,16,18,3,15
2583,0,16,10112200,101000010111,0,3,0,9,9,16,18,7,2
323,3,35,102222,101000011,2,3,1,4,11,0,0,1,4
2585,0,16,10112202,101000011001,2,0,2,0,11,1,1,9,4
1293,1,35,1202220,10100001101,0,3,5,6,6,1,1,5,17
2587,0,52,10112211,101000011011,1,2,4,2,0,3,3,11,6
647,2,11,212222,1010000111,2,2,3,9,10,1,1,3,9
2589,0,11,10112220,101000011101,0,4,6,4,2,5,5,13,8
1295,1,11,1202222,10100001111,2,0,0,8,8,3,3,7,19
2591,0,16,10112222,101000011111,2,1,1,6,4,7,7,15,10
81,5,6,10000,1010001,0,1,4,4,3,13,5,12,23
2593,0,11,10120001,101000100001,1,3,3,8,6,9,9,17,12
1297,1,35,1210001,10100010001,1,2,2,10,10,5,5,9,21
2595,0,35,10120010,101000100011,0,0,5,10,8,11,11,19,14
649,2,52,220001,1010001001,1,4,5,0,12,3,3,5,11
2597,0,52,10120012,101000100101,2,2,0,1,10,13,13,21,16
1299,1,52,1210010,10100010011,0,4,4,1,12,7,7,11,23
2599,0,52,10120021,101000100111,1,4,2,3,12,15,15,0,18
325,3,6,110001,101000101,1,0,3,6,0,2,2,3,6
2601,0,64,10120100,101000101001,0,1,4,5,1,0,17,2,20
1301,1,6,1210012,10100010101,2,1,6,3,1,9,9,13,25
2603,0,35,10120102,101000101011,2,3,6,7,3,2,0,4,22
651,2,35,220010,1010001011,0,1,0,2,1,5,5,7,13
2605,0,35,10120111,101000101101,1,0,1,9,5,4,2,6,24
1303,1,35,1210021,10100010111,1,3,1,5,3,11,11,15,27
2607,0,28,10120120,101000101111,0,2,3,0,7,6,4,8,26
163,4,6,20001,10100011,1,3,2,9,7,10,11,2,18
2609,0,16,10120122,101000110001,2,4,5,2,9,8,6,10,28
1305,1,16,1210100,10100011001,0,0,3,7,5,13,13,17,0
2611,0,16,10120201,101000110011,1,1,0,4,11,10,8,12,1
653,2,6,220012,1010001101,2,3,2,4,3,7,7,9,15
2613,0,6,10120210,101000110101,0,3,2,6,0,12,10,14,3
1307,1,64,1210102,10100011011,2,2,5,9,7,15,15,19,2
2615,0,64,10120212,101000110111,2,0,4,8,2,14,12,16,5
327,3,52,110010,101000111,0,2,5,8,2,4,4,5,8
2617,0,28,10120221,101000111001,1,2,6,10,4,16,14,18,7
1309,1,52,1210111,10100011101,1,4,0,0,9,0,17,21,4
2619,0,35,10121000,101000111011,0,4,1,1,6,1,16,20,9
655,2,52,220021,1010001111,1,0,4,6,5,9,9,11,17
2621,0,52,10121002,101000111101,2,1,3,3,8,3,18,22,11
1311,1,35,1210120,10100011111,0,1,2,2,11,2,0,0,6
2623,0,35,10121011,101000111111,1,3,5,5,10,5,1,1,13
41,6,40,1112,101001,2,1,6,8,2,7,3,18,12
2625,0,6,10121020,101001000001,0,0,0,7,12,7,3,3,15
1313,1,6,1210122,10100100001,2,3,4,4,0,4,2,2,8
2627,0,6,10121022,101001000011,2,2,2,9,1,9,5,5,17
657,2,16,220100,1010010001,0,2,6,8,7,11,11,13,19
2629,0,16,10121101,101001000101,1,4,4,0,3,11,7,7,19
1315,1,16,1210201,10100100011,1,0,6,6,2,6,4,4,10
2631,0,69,10121110,101001000111,0,1,6,2,5,13,9,9,21
329,3,16,110012,101001001,2,4,0,10,4,6,6,7,10
2633,0,11,10121112,101001001001,2,3,1,4,7,15,11,11,23
1317,1,16,1210210,10100100101,0,2,1,8,4,8,6,6,12
2635,0,16,10121121,101001001011,1,0,3,6,9,0,13,13,25
659,2,16,220102,1010010011,2,4,1,10,9,13,13,15,21
2637,0,16,10121200,101001001101,0,2,5,8,11,2,15,15,27
1319,1,52,1210212,10100100111,2,4,3,10,6,10,8,8,14
2639,0,52,10121202,101001001111,2,4,0,10,0,4,17,17,0
165,4,40,20010,10100101,0,0,4,0,9,12,13,4,20
2641,0,35,10121211,101001010001,1,1,2,1,2,6,0,19,2
1321,1,35,1210221,10100101001,1,1,5,1,8,12,10,10,16
2643,0,35,10121220,101001010011,0,3,4,3,4,8,2,21,4
661,2,40,220111,1010010101,1,1,3,1,11,15,15,17,23
2645,0,40,10121222,101001010101,2,0,6,5,6,10,4,0,6
1323,1,16,1211000,10100101011,0,3,0,3,10,14,12,12,18
2647,0,16,10122001,101001010111,1,2,1,7,8,12,6,2,8
331,3,6,110021,101001011,1,1,2,1,6,8,8,9,12
2649,0,33,10122010,101001011001,0,4,3,9,10,14,8,4,10
1325,1,6,1211002,10100101101,2,0,2,5,12,16,14,14,20
2651,0,52,10122012,101001011011,2,1,5,0,12,16,10,6,12
663,2,6,220120,1010010111,0,3,5,3,0,0,17,19,25
2653,0,6,10122021,101001011101,1,3,0,2,1,1,12,8,14
1327,1,16,1211011,10100101111,1,2,4,7,1,1,16,16,22
2655,0,16,10122100,101001011111,0,0,2,4,3,3,14,10,16
83,5,40,10002,1010011,2,3,6,6,5,15,7,14,25
2657,0,16,10122102,101001100001,2,2,4,6,5,5,16,12,18
1329,1,16,1211020,10100110001,0,4,6,9,3,3,18,18,24
2659,0,16,10122111,101001100011,1,4,6,8,7,7,18,14,20
665,2,16,220122,1010011001,2,0,0,5,2,2,0,21,27
2661,0,16,10122120,101001100101,0,1,1,10,9,9,1,16,22
1331,1,16,1211022,10100110011,2,1,1,0,5,5,1,20,26
2663,0,28,10122122,101001100111,2,3,3,1,11,11,3,18,24
333,3,40,110100,101001101,0,3,4,3,8,10,10,11,14
2665,0,16,10122201,101001101001,1,0,5,3,0,13,5,20,26
1333,1,40,1211101,10100110101,1,3,3,2,7,7,3,22,28
2667,0,13,10122210,101001101011,0,2,0,5,2,15,7,22,28
667,2,52,220201,1010011011,1,2,2,7,4,4,2,0,0
2669,0,52,10122212,101001101101,2,4,2,7,4,0,9,1,1
1335,1,52,1211110,10100110111,0,0,5,4,9,9,5,1,1
2671,0,13,10122221,101001101111,1,1,4,9,6,2,11,3,3
167,4,23,20012,10100111,2,2,6,2,11,14,15,6,22
2673,0,40,10200000,101001110001,0,3,6,0,8,4,13,5,5
1337,1,13,1211112,10100111001,2,2,0,6,11,11,7,3,3
2675,0,13,10200002,101001110011,2,0,1,2,10,6,15,7,7
669,2,23,220210,1010011101,0,4,4,9,6,6,4,2,2
2677,0,23,10200011,101001110101,1,2,3,4,12,8,17,9,9
1339,1,6,1211121,10100111011,1,4,2,8,0,13,9,5,5
2679,0,6,10200020,101001110111,0,4,5,6,1,10,0,11,11
335,3,23,110102,101001111,2,0,6,5,10,12,12,13,16
2681,0,13,10200022,101001111001,2,1,0,8,3,12,2,13,13
1341,1,23,1211200,10100111101,0,1,4,10,2,15,11,7,7
2683,0,23,10200101,101001111011,1,3,2,10,5,14,4,15,15
671,2,33,220212,1010011111,2,1,6,0,8,8,6,4,4
2685,0,33,10200110,101001111101,0,0,4,1,7,16,6,17,17
1343,1,33,1211202,10100111111,2,3,6,1,4,0,13,9,9
2687,0,33,10200112,101001111111,2,2,6,3,9,1,8,19,19
21,7,1,210,10101,0,1,0,10,8,4,2,21,21
2689,0,23,10200121,101010000001,1,4,1,5,11,3,10,21,21
1345,1,40,1211211,10101000001,1,0,1,3,6,2,15,11,11
2691,0,40,10200200,101010000011,0,1,3,7,0,5,12,0,23
673,2,21,220221,1010100001,1,3,1,2,10,10,8,6,6
2693,0,21,10200202,101010000101,2,3,5,9,2,7,14,2,25
1347,1,21,1211220,10101000011,0,2,3,5,8,4,17,13,13
2695,0,6,10200211,101010000111,1,0,0,0,4,9,16,4,27
337,3,40,110111,101010001,1,2,1,7,12,14,14,15,18
2697,0,57,10200220,101010001001,0,2,2,2,6,11,18,6,0
1349,1,40,1211222,10101000101,2,4,5,7,10,6,0,15,15
2699,0,21,10200222,101010001011,2,4,4,4,8,13,1,8,2
675,2,40,221000,1010100011,0,0,3,4,12,12,10,8,8
2701,0,40,10201001,101010001101,1,1,6,6,10,15,3,10,4
1351,1,57,1212001,10101000111,1,1,0,9,12,8,2,17,17
2703,0,57,10201010,101010001111,0,3,1,8,12,0,5,12,6
169,4,16,20021,10101001,1,4,1,4,0,16,17,8,24
2705,0,11,10201012,101010010001,2,0,3,10,1,2,7,14,8
1353,1,11,1212010,10101001001,0,3,2,0,1,10,4,19,19
2707,0,11,10201021,101010010011,1,2,5,1,3,4,9,16,10
677,2,16,221002,1010100101,2,2,5,6,1,14,12,10,10
2709,0,16,10201100,101010010101,0,4,0,3,5,6,11,18,12
1355,1,40,1212012,10101001011,2,0,4,2,3,12,6,21,21
2711,0,40,10201102,101010010111,2,1,2,5,7,8,13,20,14
339,3,16,110120,101010011,0,4,3,9,1,16,16,17,20
2713,0,57,10201111,101010011001,1,3,4,7,9,10,15,22,16
1357,1,16,1212021,10101001101,1,2,6,4,5,14,8,0,23
2715,0,33,10201120,101010011011,0,0,6,9,11,12,17,1,18
679,2,21,221011,1010100111,1,4,0,8,3,16,14,12,12
2717,0,21,10201122,101010011101,2,2,1,0,0,14,0,3,20
1359,1,21,1212100,10101001111,0,4,1,6,7,16,10,2,25
2719,0,21,10201201,101010011111,1,4,3,2,2,16,2,5,22
85,5,1,10011,1010101,1,0,1,8,7,0,9,16,27
2721,0,21,10201210,101010100001,0,1,5,4,4,1,4,7,24
1361,1,16,1212102,10101010001,2,1,3,8,9,1,12,4,27
2723,0,16,10201212,101010100011,2,3,0,6,6,3,6,9,26
681,2,21,221020,1010101001,0,1,2,10,5,1,16,14,14
2725,0,21,10201221,101010100101,1,0,2,8,8,5,8,11,28
1363,1,21,1212111,10101010011,1,3,5,10,11,3,14,6,0
2727,0,45,10202000,101010100111,0,2,4,10,10,7,10,13,1
341,3,1,110122,101010101,2,1,5,0,3,1,18,19,22
2729,0,57,10202002,101010101001,2,4,6,1,12,9,12,15,3
1365,1,1,1212120,10101010101,0,0,0,1,0,5,16,8,2
2731,0,40,10202011,101010101011,1,1,1,3,1,11,14,17,5
683,2,11,221022,1010101011,2,3,4,1,7,3,18,16,16
2733,0,11,10202020,101010101101,0,3,3,5,3,13,16,19,7
1367,1,11,1212122,10101010111,2,2,2,3,2,7,18,10,4
2735,0,57,10202022,101010101111,2,0,5,7,5,15,18,21,9
171,4,45,20100,10101011,0,1,3,6,2,1,0,10,26
2737,0,11,10202101,101010110001,1,2,0,9,7,0,1,0,11
1369,1,11,1212201,10101011001,1,4,4,5,4,9,1,12,6
2739,0,11,10202110,101010110011,0,4,2,0,9,2,3,2,13
685,2,45,221101,1010101101,1,0,6,3,9,5,1,18,18
2741,0,45,10202112,101010110101,2,1,4,2,11,4,5,4,15
1371,1,40,1212210,10101011011,0,1,6,7,6,11,3,14,8
2743,0,40,10202121,101010110111,1,3,6,4,0,6,7,6,17
343,3,45,110201,101010111,1,3,0,2,5,3,1,21,24
2745,0,11,10202200,101010111001,0,0,1,6,2,8,9,8,19
1373,1,45,1212212,10101011101,2,3,1,9,8,13,5,16,10
2747,0,21,10202202,101010111011,2,2,3,8,4,10,11,10,21
687,2,11,221110,1010101111,0,2,1,5,11,7,3,20,20
2749,0,11,10202211,101010111101,1,4,5,10,6,12,13,12,23
1375,1,11,1212221,10101011111,1,0,3,0,10,15,7,18,12
2751,0,62,10202220,101010111111,0,1,0,1,8,14,15,14,25
43,6,9,1121,101011,1,3,1,10,4,9,5,20,14
2753,0,45,10202222,101011000001,2,3,2,3,10,16,17,16,27
1377,1,57,1220000,10101100001,0,2,5,2,12,0,9,20,14
2755,0,57,10210001,101011000011,1,0,4,5,12,1,0,18,0
689,2,45,221112,1010110001,2,4,3,7,0,9,5,22,22
2757,0,45,10210010,101011000101,0,2,6,7,1,3,2,20,2
1379,1,45,1220002,10101100011,2,4,0,4,1,2,11,22,16
2759,0,57,10210012,101011000111,2,4,1,9,3,5,4,22,4
345,3,45,110210,101011001,0,0,2,4,7,5,3,0,26
2761,0,45,10210021,101011001001,1,1,3,0,5,7,6,1,6
1381,1,45,1220011,10101100101,1,1,2,6,3,4,13,1,18
2763,0,11,10210100,101011001011,0,3,5,2,7,9,8,3,8
691,2,45,221121,1010110011,1,1,5,9,2,11,7,1,24
2765,0,45,10210102,101011001101,2,0,0,4,9,11,10,5,10
1383,1,33,1220020,10101100111,0,3,4,8,5,6,15,3,20
2767,0,33,10210111,101011001111,1,2,2,6,11,13,12,7,12
173,4,9,20102,10101101,2,3,5,8,4,3,2,12,28
2769,0,21,10210120,101011010001,0,4,4,8,0,15,14,9,14
1385,1,21,1220022,10101101001,2,0,6,10,7,8,17,5,22
2771,0,21,10210122,101011010011,2,1,6,10,2,0,16,11,16
693,2,9,221200,1010110101,0,3,0,0,4,13,9,3,26
2773,0,9,10210201,101011010101,1,3,1,1,4,2,18,13,18
1387,1,21,1220101,10101101011,1,2,1,1,9,10,0,7,24
2775,0,21,10210210,101011010111,0,0,3,3,6,4,1,15,20
347,3,45,110212,101011011,2,2,4,6,9,7,5,2,28
2777,0,45,10210212,101011011001,2,2,5,5,8,6,3,17,22
1389,1,45,1220110,10101101101,0,4,3,3,11,12,2,9,26
2779,0,57,10210221,101011011011,1,4,0,7,10,8,5,19,24
695,2,45,221202,1010110111,2,0,2,2,6,15,11,5,28
2781,0,45,10211000,101011011101,0,1,2,9,12,10,7,21,26
1391,1,40,1220112,10101101111,2,1,5,5,0,14,4,11,28
2783,0,40,10211002,101011011111,2,3,4,0,1,12,9,0,28
87,5,9,10020,1010111,0,2,3,10,9,2,11,18,0
2785,0,21,10211011,101011100001,1,0,6,2,3,14,11,2,1
1393,1,9,1220121,10101110001,1,3,0,7,2,16,6,13,1
2787,0,9,10211020,101011100011,0,2,1,4,5,16,13,4,3
697,2,45,221211,1010111001,1,2,4,4,8,0,13,7,1
2789,0,45,10211022,101011100101,2,4,3,6,7,1,15,6,5
1395,1,45,1220200,10101110011,0,0,2,9,4,1,8,15,3
2791,0,21,10211101,101011100111,1,1,5,8,9,3,17,8,7
349,3,9,110221,101011101,1,4,6,8,11,9,7,4,1
2793,0,38,10211110,101011101001,0,3,0,10,11,5,0,10,9
1397,1,9,1220202,10101110101,2,2,4,0,6,3,10,17,5
2795,0,21,10211112,101011101011,2,0,2,1,0,7,2,12,11
699,2,21,221220,1010111011,0,4,6,6,10,2,15,9,3
2797,0,21,10211121,101011101101,1,2,4,3,2,9,4,14,13
1399,1,21,1220211,10101110111,1,4,6,2,8,5,12,19,7
2799,0,21,10211200,101011101111,0,4,6,5,4,11,6,16,15
175,4,28,20111,10101111,1,0,0,10,6,5,4,14,1
2801,0,9,10211202,101011110001,2,1,1,7,6,13,8,18,17
1401,1,33,1220220,10101111001,0,1,1,4,10,7,14,21,9
2803,0,33,10211211,101011110011,1,3,3,9,8,15,10,20,19
701,2,28,221222,1010111101,2,1,1,8,12,4,17,11,5
2805,0,28,10211220,101011110101,0,0,5,0,10,0,12,22,21
1403,1,45,1220222,10101111011,2,3,3,6,12,9,16,0,11
2807,0,45,10211222,101011110111,2,2,0,2,12,2,14,1,23
351,3,28,111000,101011111,0,1,1,10,0,11,9,6,3
2809,0,57,10212001,101011111001,1,4,2,4,1,4,16,3,25
1405,1,28,1221001,10101111101,1,0,5,8,1,11,18,2,13
2811,0,18,10212010,101011111011,0,1,4,6,3,6,18,5,27
703,2,62,222001,1010111111,1,3,3,10,1,6,0,13,7
2813,0,62,10212012,101011111101,2,3,6,8,5,8,1,7,0
1407,1,62,1221010,10101111111,0,2,0,10,3,13,1,4,15
2815,0,57,10212021,101011111111,1,0,1,10,7,10,3,9,2
11,8,4,102,1011,2,1,4,0,11,11,11,11,11
2817,0,28,10212100,101100000001,0,2,3,1,9,12,5,11,4
1409,1,28,1221012,10110000001,2,4,2,1,5,15,3,6,17
