These are some long Collatz sequences. The tables show the residue vector for each odd n, between those of the 2-adic odd cores of its immediate even neighbors.

The odd core residues are a fingerprint of n's local arithmetic environment, and may reveal information about its future trajectory.

When reading the table, n is the center row in each group of three.


Collatz orbit of 7:

n,k,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
31,0,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31,31 # 31 [dist 39]
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(32)

23,1,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23 # oc(46)
47,0,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47,47 # 47 [dist 38]
3,4,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(48)

35,1,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35,35 # oc(70)
71,0,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0,71 # 71 [dist 37]
9,3,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(72)

53,1,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53 # oc(106)
107,0,2,2,2,8,3,5,12,15,20,14,33,25,21,13,1,48,46,40,36,34 # 107 [dist 36]
27,2,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27 # oc(108)

5,5,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(160)
161,0,2,1,0,7,5,8,9,0,16,6,13,38,32,20,2,43,39,27,19,15 # 161 [dist 35]
81,1,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10,8 # oc(162)

15,3,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(120)
121,0,1,1,2,0,4,2,7,6,5,28,10,39,35,27,15,3,60,54,50,48 # 121 [dist 34]
61,1,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61,61 # oc(122)

45,1,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45,45 # oc(90)
91,0,1,1,0,3,0,6,15,22,4,29,17,9,5,44,38,32,30,24,20,18 # 91 [dist 33]
23,2,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23 # oc(92)

17,3,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17 # oc(136)
137,0,2,2,4,5,7,1,4,22,21,13,26,14,8,43,31,19,15,3,66,64 # 137 [dist 32]
69,1,0,4,6,3,4,1,12,0,11,7,32,28,26,22,16,10,8,2,69,69 # oc(138)

51,1,0,1,2,7,12,0,13,5,22,20,14,10,8,4,51,51,51,51,51,51 # oc(102)
103,0,1,3,5,4,12,1,8,11,16,10,29,21,17,9,50,44,42,36,32,30 # 103 [dist 31]
13,3,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(104)

77,1,2,2,0,0,12,9,1,8,19,15,3,36,34,30,24,18,16,10,6,4 # oc(154)
155,0,2,0,1,1,12,2,3,17,10,0,7,32,26,14,49,37,33,21,13,9 # 155 [dist 30]
39,2,0,4,4,6,0,5,1,16,10,8,2,39,39,39,39,39,39,39,39,39 # oc(156)

29,3,2,4,1,7,3,12,10,6,0,29,29,29,29,29,29,29,29,29,29,29 # oc(232)
233,0,2,3,2,2,12,12,5,3,1,16,11,28,18,45,21,56,50,32,20,14 # 233 [dist 29]
117,1,0,2,5,7,0,15,3,2,1,24,6,35,31,23,11,58,56,50,46,44 # oc(234)

87,1,0,2,3,10,9,2,11,18,0,25,13,5,1,40,34,28,26,20,16,14 # oc(174)
175,0,1,0,0,10,6,5,4,14,1,20,27,11,3,34,16,57,53,41,33,29 # 175 [dist 28]
11,4,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11 # oc(176)

131,1,2,1,5,10,1,12,17,16,15,7,20,8,2,37,25,13,9,64,60,58 # oc(262)
263,0,2,3,4,10,3,8,16,10,2,15,4,17,5,28,51,27,19,62,50,44 # 263 [dist 27]
33,3,0,3,5,0,7,16,14,10,4,2,33,33,33,33,33,33,33,33,33,33 # oc(264)

197,1,2,2,1,10,2,10,7,13,23,11,12,33,25,9,38,20,14,63,55,51 # oc(394)
395,0,2,0,3,10,5,4,15,4,18,23,25,26,8,19,24,41,29,60,40,30 # 395 [dist 26]
99,2,0,4,1,0,8,14,4,7,12,6,25,17,13,5,46,40,38,32,28,26 # oc(396)

37,4,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37,37 # oc(592)
593,0,2,3,5,10,8,15,4,18,13,4,1,19,34,29,10,3,44,57,25,9 # 593 [dist 25]
297,1,0,2,3,0,11,8,12,21,7,18,1,10,39,15,32,2,53,29,13,5 # oc(594)

111,2,0,1,6,1,7,9,16,19,24,18,0,29,25,17,5,52,50,44,40,38 # oc(444)
445,0,1,0,4,5,3,3,8,8,10,11,1,35,15,22,21,32,18,43,19,7 # 445 [dist 24]
223,1,1,3,6,3,2,2,14,16,20,6,1,18,8,35,11,46,40,22,10,4 # oc(446)

83,1,2,3,6,6,5,15,7,14,25,21,9,1,40,36,30,24,22,16,12,10 # oc(166)
167,0,2,2,6,2,11,14,15,6,22,12,19,3,38,26,8,49,45,33,25,21 # 167 [dist 23]
21,3,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21,21 # oc(168)

125,1,2,0,6,4,8,6,11,10,9,1,14,2,39,31,19,7,3,58,54,52 # oc(250)
251,0,2,1,6,9,4,13,4,21,19,3,29,5,36,16,39,15,7,50,38,32 # 251 [dist 22]
63,2,0,3,0,8,11,12,6,17,5,1,26,22,20,16,10,4,2,63,63,63 # oc(252)

47,3,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47,47 # oc(376)
377,0,2,2,6,3,0,3,16,9,0,5,7,8,33,1,6,23,11,42,22,12 # 377 [dist 21]
189,1,0,4,0,2,7,2,18,5,15,3,4,25,17,1,30,12,6,55,47,43 # oc(378)

141,1,0,1,1,9,11,5,8,3,25,17,30,18,12,0,35,23,19,7,70,68 # oc(282)
283,0,1,3,3,8,10,11,17,7,22,4,24,37,25,1,18,47,39,15,70,64 # 283 [dist 20]
71,2,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0,71 # oc(284)

53,3,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53 # oc(424)
425,0,2,0,5,7,9,0,7,11,19,22,18,15,38,2,1,12,59,23,70,60 # 425 [dist 19]
213,1,0,3,3,4,5,9,4,6,10,27,28,8,41,25,1,36,30,12,0,67 # oc(426)

159,1,0,4,5,5,3,6,7,21,14,4,11,36,30,18,0,41,37,25,17,13 # oc(318)
319,0,1,4,4,0,7,13,15,20,0,9,23,32,18,37,1,24,14,51,35,27 # 319 [dist 18]
5,6,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(320)

239,1,2,4,1,8,5,1,11,9,7,22,17,34,24,4,27,3,56,38,26,20 # oc(478)
479,0,2,4,3,6,11,3,4,19,15,14,35,28,6,9,2,7,52,10,53,41 # 479 [dist 17]
15,5,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(480)

359,1,2,4,2,7,8,2,17,14,11,18,26,31,15,30,41,5,54,24,4,67 # oc(718)
719,0,2,4,5,4,4,5,16,6,23,6,16,22,31,14,30,11,48,49,9,62 # 719 [dist 16]
45,4,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45,45 # oc(720)

539,1,2,4,0,0,6,12,7,10,17,12,21,6,23,22,9,8,51,3,42,28 # oc(1078)
1079,0,2,4,1,1,0,8,15,21,6,25,6,13,4,45,19,17,42,7,14,57 # 1079 [dist 15]
135,3,0,0,2,3,5,16,2,20,19,11,24,12,6,41,29,17,13,1,64,62 # oc(1080)

809,1,2,4,4,6,3,10,11,4,26,3,32,30,35,10,14,42,16,5,28,6 # oc(1618)
1619,0,2,4,2,2,7,4,4,9,24,7,28,20,28,21,29,26,33,11,57,13 # 1619 [dist 14]
405,2,0,0,6,9,2,14,6,14,28,2,35,36,18,29,34,51,39,3,50,40 # oc(1620)

607,2,1,2,5,2,9,12,18,9,27,18,15,33,5,43,24,17,58,4,39,23 # oc(2428)
2429,0,2,4,0,9,11,15,16,14,22,11,24,10,21,32,44,10,50,17,15,20 # 2429 [dist 13]
1215,1,0,0,4,5,6,8,18,19,26,6,31,26,11,40,49,35,56,9,8,47 # oc(2430)

455,1,2,0,0,4,0,13,18,18,20,21,11,4,25,32,31,42,28,53,29,17 # oc(910)
911,0,2,1,1,9,1,10,18,14,12,12,23,9,8,18,10,26,57,40,59,35 # 911 [dist 12]
57,4,0,2,1,2,5,6,0,11,28,26,20,16,14,10,4,57,57,57,57,57 # oc(912)

683,1,2,3,4,1,7,3,18,16,16,1,17,27,38,25,47,34,12,13,44,26 # oc(1366)
1367,0,2,2,2,3,2,7,18,10,4,3,35,14,34,4,42,10,25,27,18,53 # 1367 [dist 11]
171,3,0,1,3,6,2,1,0,10,26,16,23,7,42,30,12,53,49,37,29,25 # oc(1368)

1025,1,2,0,3,2,11,5,18,13,10,2,26,0,36,38,18,22,49,20,31,3 # oc(2050)
2051,0,2,1,0,5,10,11,18,4,21,5,16,1,30,30,37,45,38,41,63,7 # 2051 [dist 10]
513,2,0,3,2,7,6,3,0,7,20,17,32,21,40,43,36,41,25,44,16,2 # oc(2052)

769,2,1,4,6,10,2,4,9,10,15,25,29,31,38,17,27,2,37,32,59,39 # oc(3076)
3077,0,2,2,4,8,9,0,18,18,3,8,6,2,24,22,3,9,27,62,24,11 # 3077 [dist 9]
1539,1,0,4,6,10,5,9,0,21,2,20,22,22,34,35,2,5,14,65,48,6 # oc(3078)

9,6,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(576)
577,0,1,2,3,5,5,16,7,2,26,19,22,3,18,13,47,46,28,41,9,66 # 577 [dist 8]
289,1,1,4,2,3,3,0,4,13,28,10,30,2,31,7,24,53,45,21,5,70 # oc(578)

27,4,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27 # oc(432)
433,0,1,3,6,4,4,8,15,19,27,30,26,23,3,10,9,20,6,31,7,68 # 433 [dist 7]
217,1,1,2,0,8,9,13,8,10,14,0,32,12,2,29,5,40,34,16,4,71 # oc(434)

81,2,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10,8 # oc(324)
325,0,1,0,3,6,0,2,2,3,6,15,29,38,24,43,7,30,20,57,41,33 # 325 [dist 6]
163,1,1,3,2,9,7,10,11,2,18,8,15,40,34,22,4,45,41,29,21,17 # oc(326)

15,2,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(60)
61,0,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61,61 # 61 [dist 5]
31,1,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31,31 # oc(62)

11,1,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11 # oc(22)
23,0,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23 # 23 [dist 4]
3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(24)

17,1,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17 # oc(34)
35,0,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35,35 # 35 [dist 3]
9,2,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(36)

13,2,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(52)
53,0,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53 # 53 [dist 2]
27,1,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27 # oc(54)

1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(4)
5,0,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # 5 [dist 1]
3,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(6)


Collatz orbit of 41:

n,k,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
5,3,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(40)
41,0,2,1,6,8,2,7,3,18,12,10,4,0,41,41,41,41,41,41,41,41 # 41 [dist 40]
21,1,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21,21 # oc(42)

15,1,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(30)
31,0,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31,31 # 31 [dist 39]
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(32)

23,1,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23 # oc(46)
47,0,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47,47 # 47 [dist 38]
3,4,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(48)

35,1,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35,35 # oc(70)
71,0,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0,71 # 71 [dist 37]
9,3,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(72)

53,1,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53 # oc(106)
107,0,2,2,2,8,3,5,12,15,20,14,33,25,21,13,1,48,46,40,36,34 # 107 [dist 36]
27,2,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27 # oc(108)

5,5,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(160)
161,0,2,1,0,7,5,8,9,0,16,6,13,38,32,20,2,43,39,27,19,15 # 161 [dist 35]
81,1,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10,8 # oc(162)

15,3,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(120)
121,0,1,1,2,0,4,2,7,6,5,28,10,39,35,27,15,3,60,54,50,48 # 121 [dist 34]
61,1,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61,61 # oc(122)

45,1,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45,45 # oc(90)
91,0,1,1,0,3,0,6,15,22,4,29,17,9,5,44,38,32,30,24,20,18 # 91 [dist 33]
23,2,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23 # oc(92)

17,3,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17 # oc(136)
137,0,2,2,4,5,7,1,4,22,21,13,26,14,8,43,31,19,15,3,66,64 # 137 [dist 32]
69,1,0,4,6,3,4,1,12,0,11,7,32,28,26,22,16,10,8,2,69,69 # oc(138)

51,1,0,1,2,7,12,0,13,5,22,20,14,10,8,4,51,51,51,51,51,51 # oc(102)
103,0,1,3,5,4,12,1,8,11,16,10,29,21,17,9,50,44,42,36,32,30 # 103 [dist 31]
13,3,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(104)

77,1,2,2,0,0,12,9,1,8,19,15,3,36,34,30,24,18,16,10,6,4 # oc(154)
155,0,2,0,1,1,12,2,3,17,10,0,7,32,26,14,49,37,33,21,13,9 # 155 [dist 30]
39,2,0,4,4,6,0,5,1,16,10,8,2,39,39,39,39,39,39,39,39,39 # oc(156)

29,3,2,4,1,7,3,12,10,6,0,29,29,29,29,29,29,29,29,29,29,29 # oc(232)
233,0,2,3,2,2,12,12,5,3,1,16,11,28,18,45,21,56,50,32,20,14 # 233 [dist 29]
117,1,0,2,5,7,0,15,3,2,1,24,6,35,31,23,11,58,56,50,46,44 # oc(234)

87,1,0,2,3,10,9,2,11,18,0,25,13,5,1,40,34,28,26,20,16,14 # oc(174)
175,0,1,0,0,10,6,5,4,14,1,20,27,11,3,34,16,57,53,41,33,29 # 175 [dist 28]
11,4,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11 # oc(176)

131,1,2,1,5,10,1,12,17,16,15,7,20,8,2,37,25,13,9,64,60,58 # oc(262)
263,0,2,3,4,10,3,8,16,10,2,15,4,17,5,28,51,27,19,62,50,44 # 263 [dist 27]
33,3,0,3,5,0,7,16,14,10,4,2,33,33,33,33,33,33,33,33,33,33 # oc(264)

197,1,2,2,1,10,2,10,7,13,23,11,12,33,25,9,38,20,14,63,55,51 # oc(394)
395,0,2,0,3,10,5,4,15,4,18,23,25,26,8,19,24,41,29,60,40,30 # 395 [dist 26]
99,2,0,4,1,0,8,14,4,7,12,6,25,17,13,5,46,40,38,32,28,26 # oc(396)

37,4,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37,37 # oc(592)
593,0,2,3,5,10,8,15,4,18,13,4,1,19,34,29,10,3,44,57,25,9 # 593 [dist 25]
297,1,0,2,3,0,11,8,12,21,7,18,1,10,39,15,32,2,53,29,13,5 # oc(594)

111,2,0,1,6,1,7,9,16,19,24,18,0,29,25,17,5,52,50,44,40,38 # oc(444)
445,0,1,0,4,5,3,3,8,8,10,11,1,35,15,22,21,32,18,43,19,7 # 445 [dist 24]
223,1,1,3,6,3,2,2,14,16,20,6,1,18,8,35,11,46,40,22,10,4 # oc(446)

83,1,2,3,6,6,5,15,7,14,25,21,9,1,40,36,30,24,22,16,12,10 # oc(166)
167,0,2,2,6,2,11,14,15,6,22,12,19,3,38,26,8,49,45,33,25,21 # 167 [dist 23]
21,3,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21,21 # oc(168)

125,1,2,0,6,4,8,6,11,10,9,1,14,2,39,31,19,7,3,58,54,52 # oc(250)
251,0,2,1,6,9,4,13,4,21,19,3,29,5,36,16,39,15,7,50,38,32 # 251 [dist 22]
63,2,0,3,0,8,11,12,6,17,5,1,26,22,20,16,10,4,2,63,63,63 # oc(252)

47,3,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47,47 # oc(376)
377,0,2,2,6,3,0,3,16,9,0,5,7,8,33,1,6,23,11,42,22,12 # 377 [dist 21]
189,1,0,4,0,2,7,2,18,5,15,3,4,25,17,1,30,12,6,55,47,43 # oc(378)

141,1,0,1,1,9,11,5,8,3,25,17,30,18,12,0,35,23,19,7,70,68 # oc(282)
283,0,1,3,3,8,10,11,17,7,22,4,24,37,25,1,18,47,39,15,70,64 # 283 [dist 20]
71,2,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0,71 # oc(284)

53,3,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53 # oc(424)
425,0,2,0,5,7,9,0,7,11,19,22,18,15,38,2,1,12,59,23,70,60 # 425 [dist 19]
213,1,0,3,3,4,5,9,4,6,10,27,28,8,41,25,1,36,30,12,0,67 # oc(426)

159,1,0,4,5,5,3,6,7,21,14,4,11,36,30,18,0,41,37,25,17,13 # oc(318)
319,0,1,4,4,0,7,13,15,20,0,9,23,32,18,37,1,24,14,51,35,27 # 319 [dist 18]
5,6,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(320)

239,1,2,4,1,8,5,1,11,9,7,22,17,34,24,4,27,3,56,38,26,20 # oc(478)
479,0,2,4,3,6,11,3,4,19,15,14,35,28,6,9,2,7,52,10,53,41 # 479 [dist 17]
15,5,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(480)

359,1,2,4,2,7,8,2,17,14,11,18,26,31,15,30,41,5,54,24,4,67 # oc(718)
719,0,2,4,5,4,4,5,16,6,23,6,16,22,31,14,30,11,48,49,9,62 # 719 [dist 16]
45,4,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45,45 # oc(720)

539,1,2,4,0,0,6,12,7,10,17,12,21,6,23,22,9,8,51,3,42,28 # oc(1078)
1079,0,2,4,1,1,0,8,15,21,6,25,6,13,4,45,19,17,42,7,14,57 # 1079 [dist 15]
135,3,0,0,2,3,5,16,2,20,19,11,24,12,6,41,29,17,13,1,64,62 # oc(1080)

809,1,2,4,4,6,3,10,11,4,26,3,32,30,35,10,14,42,16,5,28,6 # oc(1618)
1619,0,2,4,2,2,7,4,4,9,24,7,28,20,28,21,29,26,33,11,57,13 # 1619 [dist 14]
405,2,0,0,6,9,2,14,6,14,28,2,35,36,18,29,34,51,39,3,50,40 # oc(1620)

607,2,1,2,5,2,9,12,18,9,27,18,15,33,5,43,24,17,58,4,39,23 # oc(2428)
2429,0,2,4,0,9,11,15,16,14,22,11,24,10,21,32,44,10,50,17,15,20 # 2429 [dist 13]
1215,1,0,0,4,5,6,8,18,19,26,6,31,26,11,40,49,35,56,9,8,47 # oc(2430)

455,1,2,0,0,4,0,13,18,18,20,21,11,4,25,32,31,42,28,53,29,17 # oc(910)
911,0,2,1,1,9,1,10,18,14,12,12,23,9,8,18,10,26,57,40,59,35 # 911 [dist 12]
57,4,0,2,1,2,5,6,0,11,28,26,20,16,14,10,4,57,57,57,57,57 # oc(912)

683,1,2,3,4,1,7,3,18,16,16,1,17,27,38,25,47,34,12,13,44,26 # oc(1366)
1367,0,2,2,2,3,2,7,18,10,4,3,35,14,34,4,42,10,25,27,18,53 # 1367 [dist 11]
171,3,0,1,3,6,2,1,0,10,26,16,23,7,42,30,12,53,49,37,29,25 # oc(1368)

1025,1,2,0,3,2,11,5,18,13,10,2,26,0,36,38,18,22,49,20,31,3 # oc(2050)
2051,0,2,1,0,5,10,11,18,4,21,5,16,1,30,30,37,45,38,41,63,7 # 2051 [dist 10]
513,2,0,3,2,7,6,3,0,7,20,17,32,21,40,43,36,41,25,44,16,2 # oc(2052)

769,2,1,4,6,10,2,4,9,10,15,25,29,31,38,17,27,2,37,32,59,39 # oc(3076)
3077,0,2,2,4,8,9,0,18,18,3,8,6,2,24,22,3,9,27,62,24,11 # 3077 [dist 9]
1539,1,0,4,6,10,5,9,0,21,2,20,22,22,34,35,2,5,14,65,48,6 # oc(3078)

9,6,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(576)
577,0,1,2,3,5,5,16,7,2,26,19,22,3,18,13,47,46,28,41,9,66 # 577 [dist 8]
289,1,1,4,2,3,3,0,4,13,28,10,30,2,31,7,24,53,45,21,5,70 # oc(578)

27,4,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27 # oc(432)
433,0,1,3,6,4,4,8,15,19,27,30,26,23,3,10,9,20,6,31,7,68 # 433 [dist 7]
217,1,1,2,0,8,9,13,8,10,14,0,32,12,2,29,5,40,34,16,4,71 # oc(434)

81,2,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10,8 # oc(324)
325,0,1,0,3,6,0,2,2,3,6,15,29,38,24,43,7,30,20,57,41,33 # 325 [dist 6]
163,1,1,3,2,9,7,10,11,2,18,8,15,40,34,22,4,45,41,29,21,17 # oc(326)

15,2,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(60)
61,0,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61,61 # 61 [dist 5]
31,1,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31,31 # oc(62)

11,1,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11 # oc(22)
23,0,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23 # 23 [dist 4]
3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(24)

17,1,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17 # oc(34)
35,0,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35,35 # 35 [dist 3]
9,2,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(36)

13,2,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13 # oc(52)
53,0,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53 # 53 [dist 2]
27,1,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27 # oc(54)

1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(4)
5,0,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # 5 [dist 1]
3,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(6)


Collatz orbit of 47:

n,k,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
23,1,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23 # oc(46)
47,0,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47,47 # 47 [dist 38]
3,4,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(48)

35,1,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35,35 # oc(70)
71,0,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0,71 # 71 [dist 37]
9,3,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 # oc(72)

53,1,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53 # oc(106)
107,0,2,2,2,8,3,5,12,15,20,14,33,25,21,13,1,48,46,40,36,34 # 107 [dist 36]
27,2,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27 # oc(108)

5,5,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(160)
161,0,2,1,0,7,5,8,9,0,16,6,13,38,32,20,2,43,39,27,19,15 # 161 [dist 35]
81,1,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10,8 # oc(162)

15,3,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(120)
121,0,1,1,2,0,4,2,7,6,5,28,10,39,35,27,15,3,60,54,50,48 # 121 [dist 34]
61,1,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61,61 # oc(122)

45,1,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45,45 # oc(90)
91,0,1,1,0,3,0,6,15,22,4,29,17,9,5,44,38,32,30,24,20,18 # 91 [dist 33]
23,2,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23 # oc(92)

17,3,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17 # oc(136)
137,0,2,2,4,5,7,1,4,22,21,13,26,14,8,43,31,19,15,3,66,64 # 137 [dist 32]
69,1,0,4,6,3,4,1,12,0,11,7,32,28,26,22,16,10,8,2,69,69 # oc(138)

51,1,0,1,2,7,12,0,13,5,22,20,14,10,8,4,51,51,51,51,51,51 # oc(102)
