# `n`       a positive odd integer
# `base3`   the ternary representation of n
# `base2`   the binary representation of n
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `sm*`     the signed prime residues of n modulo a set of primes
# `factors` the prime factors of n

       n,           base3,                   base2, dist,          nl,           nr, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, m43, m47, m53, m59, m61, m67, m71, m73, m79, m83, m89, m97, m101, m103, m107, m109, m113, m127, factors
   62207,     10011022222,        1111001011111111,   51,   (31103 1),      (243 8), 2,  2,  5,  2,   2,   4,   1,   15,  2,   21,  10,  10,  29,  26,  38,  21,  48,  31,  11,  11,  34,  40,  85,  30,  92,   98,   40,   77,   57,   104,  {62207}
   93311,     11201222222,       10110110001111111,   50,   (46655 1),      (729 7), 2,  1,  1,  9,   10,  15,  2,   0,   18,  1,   34,  36,  1,   16,  31,  32,  42,  47,  17,  17,  12,  19,  39,  94,  88,   96,   7,    7,    86,   93,   {23 4057}
  139967,     21002222222,      100010001010111111,   49,   (69983 1),     (2187 6), 2,  2,  2,  3,   9,   6,   13,  12,  13,  2,   33,  34,  2,   1,   47,  19,  33,  4,   26,  26,  58,  29,  59,  93,  82,   93,   11,   11,   73,   13,   {139967}
  209951,    101122222222,      110011010000011111,   48,  (104975 1),     (6561 5), 2,  1,  0,  5,   1,   1,   1,   7,   20,  19,  13,  31,  25,  2,   18,  29,  50,  40,  4,   3,   48,  44,  0,   43,  73,   37,   17,   17,   110,  20,   {7 89 337}
  314927,    120222222222,     1001100111000101111,   47,  (157463 1),    (19683 4), 2,  2,  4,  8,   2,   2,   2,   11,  16,  29,  20,  6,   38,  27,  1,   44,  45,  27,  42,  5,   33,  25,  45,  65,  9,    56,   26,   26,   109,  94,   {314927}
  472391,    212222222222,     1110011010101000111,   46,  (236195 1),    (59049 3), 2,  1,  3,  7,   10,  12,  13,  17,  10,  13,  12,  30,  36,  41,  2,   37,  7,   41,  28,  8,   50,  38,  68,  1,   14,   33,   93,   94,   51,   78,   {472391}
  708587,   1022222222222,    10101100111111101011,   45,  (354293 1),   (177147 2), 2,  2,  5,  0,   9,   10,  1,   3,   1,   20,  0,   25,  33,  15,  30,  56,  11,  62,  7,   49,  36,  16,  58,  2,   72,   50,   33,   87,   77,   54,   {11 37 1741}
 1062881,   1222222222222,   100000011011111100001,   44,   (33215 5),   (531441 1), 2,  1,  1,  6,   1,   7,   2,   5,   2,   15,  19,  38,  7,   23,  19,  55,  17,  60,  11,  1,   15,  66,  43,  52,  58,   24,   50,   22,   3,    18,   {1062881}
  797161,   1111111111111,    11000010100111101001,   43,   (99645 3),   (398581 1), 1,  1,  1,  2,   1,   14,  16,  4,   9,   27,  33,  39,  27,  41,  41,  12,  13,  62,  44,  1,   51,  29,  77,  15,  69,   44,   11,   44,   59,   109,  {797161}
  597871,   1010101010101,    10010001111101101111,   42,  (298935 1),    (37367 4), 1,  1,  1,  10,  1,   15,  17,  9,   7,   5,   25,  9,   42,  31,  31,  24,  10,  30,  51,  1,   78,  22,  58,  60,  52,   59,   62,   6,    101,  82,   {547 1093}
  896807,   1200120012002,    11011010111100100111,   41,  (448403 1),   (112101 3), 2,  2,  2,  10,  2,   6,   7,   14,  11,  8,   1,   14,  42,  0,   47,  7,   46,  12,  6,   2,   78,  75,  43,  42,  28,   89,   40,   64,   39,   60,   {47 19081}
 1345211,   2112100021122,   101001000011010111011,   40,  (672605 1),   (336303 2), 2,  1,  0,  10,  10,  1,   11,  10,  17,  28,  2,   1,   42,  24,  18,  11,  39,  52,  45,  40,  78,  30,  65,  15,  93,   31,   7,    42,   59,   27,   {7 192173}
 2017817,  10210111220222,   111101100101000011001,   39,  (252227 3),  (1008909 1), 2,  2,  4,  10,  9,   2,   17,  4,   26,  27,  22,  2,   42,  13,  1,   17,  59,  45,  68,  24,  78,  4,   9,   23,  39,   47,   11,   9,    89,   41,   {2017817}
 1513363,   2211212221111,   101110001011110010011,   38,  (756681 1),   (378341 2), 1,  3,  5,  5,   7,   6,   13,  9,   27,  5,   26,  12,  21,  10,  1,   13,  14,  34,  69,  0,   39,  24,  7,   66,  80,   87,   62,   7,    67,   31,   {73 20731}
 2270045,  11021022220202,  1000101010001101011101,   37,  (567511 2),  (1135023 1), 2,  0,  1,  8,   11,  1,   1,   14,  12,  8,   21,  39,  32,  39,  2,   20,  52,  18,  33,  37,  59,  78,  11,  51,  70,   28,   40,   11,   101,  47,   {5 454009}
  851267,   1121020201102,    11001111110101000011,   36,  (425633 1),   (212817 2), 2,  2,  4,  10,  1,   9,   10,  14,  1,   7,   8,   25,  39,  3,   34,  15,  12,  32,  48,  14,  42,  19,  71,  92,  39,   75,   82,   86,   38,   113,  {851267}
 1276901,   2101212120122,   100110111101111100101,   35,  (319225 2),   (638451 1), 2,  1,  3,  10,  2,   14,  6,   10,  2,   11,  31,  38,  16,  5,   25,  23,  49,  15,  37,  58,  24,  29,  18,  90,  59,   10,   70,   75,   1,    43,   {577 2213}
  239419,    110011102101,      111010011100111011,   34,  (119709 1),    (59855 2), 1,  4,  5,  4,   11,  8,   0,   12,  24,  6,   29,  20,  38,  1,   18,  56,  55,  28,  7,   52,  49,  47,  9,   23,  49,   47,   60,   55,   85,   24,   {19 12601}
  359129,    200020122002,     1010111101011011001,   33,   (44891 3),   (179565 1), 2,  4,  1,  1,   4,   4,   10,  7,   22,  25,  7,   10,  36,  2,   1,   55,  22,  9,   11,  42,  74,  71,  14,  35,  74,   71,   37,   83,   15,   100,  {359129}
  269347,    111200110211,     1000001110000100011,   32,  (134673 1),    (67337 2), 1,  2,  1,  1,   0,   16,  3,   17,  24,  19,  24,  18,  38,  37,  1,   12,  32,  7,   44,  50,  36,  12,  33,  75,  81,   2,    28,   8,    68,   107,  {13 20719}
  404021,    202112012202,     1100010101000110101,   31,  (101005 2),   (202011 1), 2,  1,  2,  2,   7,   16,  5,   3,   22,  29,  18,  7,   36,  9,   2,   48,  18,  11,  31,  39,  15,  60,  50,  16,  21,   55,   96,   67,   46,   34,   {404021}
   37877,      1220221212,        1001001111110101,   30,    (9469 2),    (18939 1), 2,  2,  0,  4,   8,   1,   10,  19,  3,   26,  26,  34,  37,  42,  35,  58,  57,  22,  34,  63,  36,  29,  52,  47,  2,    76,   106,  54,   22,   31,   {7 773}
    3551,        11212112,            110111011111,   29,    (1775 1),      (111 5), 2,  1,  2,  9,   2,   15,  17,  9,   13,  17,  36,  25,  25,  26,  0,   11,  13,  0,   1,   47,  75,  65,  80,  59,  16,   49,   20,   63,   48,   122,  {53 67}
    5327,        21022022,           1010011001111,   28,    (2663 1),      (333 4), 2,  2,  0,  3,   10,  6,   7,   14,  20,  26,  36,  38,  38,  16,  27,  17,  20,  34,  2,   71,  34,  15,  76,  89,  75,   74,   84,   95,   16,   120,  {7 761}
    7991,       101221222,           1111100110111,   27,    (3995 1),      (999 3), 2,  1,  4,  5,   9,   1,   11,  10,  16,  24,  36,  37,  36,  1,   41,  26,  0,   18,  39,  34,  12,  23,  70,  37,  12,   60,   73,   34,   81,   117,  {61 131}
   11987,       121102222,          10111011010011,   26,    (5993 1),     (2997 2), 2,  2,  3,  8,   1,   2,   17,  4,   10,  21,  36,  15,  33,  2,   9,   10,  31,  61,  59,  15,  58,  35,  61,  56,  69,   39,   3,    106,  9,    49,   {11987}
   17981,       220122222,         100011000111101,   25,    (4495 2),     (8991 1), 2,  1,  5,  7,   2,   12,  7,   18,  1,   1,   36,  23,  7,   27,  14,  45,  47,  25,  18,  23,  48,  53,  3,   36,  3,    59,   5,    105,  14,   74,   {17981}
    6743,       100020202,           1101001010111,   24,    (3371 1),      (843 3), 2,  3,  2,  0,   9,   11,  17,  4,   15,  16,  9,   19,  35,  22,  12,  17,  33,  43,  69,  27,  28,  20,  68,  50,  77,   48,   2,    94,   76,   12,   {11 613}
   10115,       111212122,          10011110000011,   23,    (5057 1),     (2529 2), 2,  0,  0,  6,   1,   0,   7,   18,  23,  9,   14,  29,  10,  10,  45,  26,  50,  65,  33,  41,  3,   72,  58,  27,  15,   21,   57,   87,   58,   82,   {5 7 17}
